"Part";"Value";"Device";"Package";"Description";"3D_PACKAGE";"DESCRIPTION";"HEIGHT";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"RS_PART_NUMBER";"SUPPLIER";"SUPPLIER_NAME";
"C1";"100n";"C-EUC0805K";"C0805K";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C2";"1u";"C-EUC0805K";"C0805K";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C3";"100n";"C-EUC0805K";"C0805K";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";
"IC1";"HIH8131-000-001";"HIH8131-000-001";"SOIC127P600X220-8N";"Honeywell HIH8131-000-001 Humidity Sensor 8-Pin SOIC, -40  +125 C";"";"Honeywell HIH8131-000-001 Humidity Sensor 8-Pin SOIC, -40  +125 C";"2.2mm";"Honeywell";"HIH8131-000-001";"";"";"";"";"";"8748744";"";"RS";
"IC2";"MS5805-02BA01";"MS5805-02BA01";"MS5805-02BA";"Absolute Pressure Sensor";"";"";"";"";"";"";"";"";"";"";"";"";"";
"J3";"LCD MIDAS MC21605G12W";"PINHD-1X16";"1X16";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Q1";"FDN337N";"FDN337N";"SOT95P230X110-3N";"N-channel MOSFET";"";"";"";"";"";"";"FDN337N";"9845356";"";"SOT-23";"";"Fairchild";"";
"Q2";"FDN337N";"FDN337N";"SOT95P230X110-3N";"N-channel MOSFET";"";"";"";"";"";"";"FDN337N";"9845356";"";"SOT-23";"";"Fairchild";"";
"R1";"10K";"R-EU_R3216";"R3216";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R2";"10K";"R-EU_R3216";"R3216";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R3";"2K2";"R-EU_R3216";"R3216";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R4";"2K2";"R-EU_R3216";"R3216";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R5";"10K";"R-EU_R3216";"R3216";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";
"RV1";"10K";"TRIM_EU-CA9V";"CA9V";"POTENTIOMETER";"";"";"";"";"";"";"";"";"";"";"";"";"";
"SV1";"IDC10 90°";"ML10L";"ML10L";"HARTING";"";"";"";"";"";"";"";"unknown";"unknown";"";"";"";"";
"SV2";"IDC10";"ML10";"ML10";"HARTING";"";"";"";"";"";"";"";"unknown";"unknown";"";"";"";"";
"SV3";"IDC16 90°";"ML16L";"ML16L";"HARTING";"";"";"";"";"";"";"";"unknown";"unknown";"";"";"";"";
"SV4";"IDC16 90°";"ML16L";"ML16L";"HARTING";"";"";"";"";"";"";"";"unknown";"unknown";"";"";"";"";
"X1";"RASPI_BOARD_B+_H";"RASPI_BOARD_B+_H";"RASPI_BOARD_B+HAT";"Raspberry Pi GPIO connector with markings for the outer dimensions of the Raspberry Pi board model B+";"";"";"";"";"";"";"";"";"";"";"";"";"";
